id;jhi_key;name
1;BULBASAUR;Bulbasaur
2;IVYSAUR;Ivysaur
3;CHARMANDER;Charmander
4;CHARMELEON;Charmeleon
5;SQUIRTLE;Squirtle
6;WARTORTLE;Wartortle
7;CATERPIE;Caterpie
8;METAPOD;Metapod
9;WEEDLE;Weedle
10;KAKUNA;Kakuna
11;PIDGEY;Pidgey
12;PIDGEOTTO;Pidgeotto
13;RATTATA;Rattata
14;RATTATA_ALOLA;Rattata Alola
15;SPEAROW;Spearow
16;EKANS;Ekans
17;PICHU;Pichu
18;PIKACHU;Pikachu
19;SANDSHREW;Sandshrew
20;SANDSHREW_ALOLA;Sandshrew Alola
21;NIDORAN_FEMALE;Nidoran Female
22;NIDORINA;Nidorina
23;NIDORAN_MALE;Nidoran Male
24;NIDORINO;Nidorino
25;CLEFFA;Cleffa
26;CLEFAIRY;Clefairy
27;VULPIX;Vulpix
28;VULPIX_ALOLA;Vulpix Alola
29;IGGLYBUFF;Igglybuff
30;JIGGLYPUFF;Jigglypuff
31;ZUBAT;Zubat
32;ODDISH;Oddish
33;GLOOM;Gloom
34;PARAS;Paras
35;VENONAT;Venonat
36;DIGLETT;Diglett
37;DIGLETT_ALOLA;Diglett Alola
38;MEOWTH;Meowth
39;MEOWTH_ALOLA;Meowth Alola
40;PSYDUCK;Psyduck
41;MANKEY;Mankey
42;GROWLITHE;Growlithe
43;POLIWAG;Poliwag
44;POLIWHIRL;Poliwhirl
45;ABRA;Abra
46;KADABRA;Kadabra
47;MACHOP;Machop
48;MACHOKE;Machoke
49;BELLSPROUT;Bellsprout
50;WEEPINBELL;Weepinbell
51;TENTACOOL;Tentacool
52;GEODUDE;Geodude
53;GEODUDE_ALOLA;Geodude Alola
54;GRAVELER;Graveler
55;GRAVELER_ALOLA;Graveler Alola
56;PONYTA;Ponyta
57;SLOWPOKE;Slowpoke
58;MAGNEMITE;Magnemite
59;DODUO;Doduo
60;SEEL;Seel
61;GRIMER;Grimer
62;GRIMER_ALOLA;Grimer Alola
63;SHELLDER;Shellder
64;GASTLY;Gastly
65;HAUNTER;Haunter
66;DROWZEE;Drowzee
67;KRABBY;Krabby
68;VOLTORB;Voltorb
69;EXEGGCUTE;Exeggcute
70;CUBONE;Cubone
71;TYROGUE;Tyrogue
72;KOFFING;Koffing
73;RHYHORN;Rhyhorn
74;HAPPINY;Happiny
75;HORSEA;Horsea
76;GOLDEEN;Goldeen
77;STARYU;Staryu
78;MIME_JR;Mime Jr
79;SMOOCHUM;Smoochum
80;ELEKID;Elekid
81;MAGBY;Magby
82;MAGIKARP;Magikarp
83;EEVEE;Eevee
84;OMANYTE;Omanyte
85;KABUTO;Kabuto
86;MUNCHLAX;Munchlax
87;DRATINI;Dratini
88;DRAGONAIR;Dragonair
89;CHIKORITA;Chikorita
90;BAYLEEF;Bayleef
91;CYNDAQUIL;Cyndaquil
92;QUILAVA;Quilava
93;TOTODILE;Totodile
