id;attack_probability;attack_timer;base_flee_rate;base_capture_rate;camera_distance;collision_radius;dodge_distance;dodge_probability;jump_time;max_pokemon_action_frequency;min_pokemon_action_frequency
1;98925;98490;42370;18730;88965;15509;53628;85939;33030;86372;16827
2;50929;63720;20534;41844;59278;64881;81178;12267;14240;16877;11337
3;26676;69301;25001;20796;24128;55570;18983;24350;25551;85959;13041
4;57494;70028;28570;85673;73451;19338;22778;15975;59629;19312;89431
5;4256;35604;47315;9325;11056;75560;60782;4654;77579;9726;95361
6;22810;38524;13084;96565;86504;89264;55541;43498;33286;92171;2563
7;50263;44882;72015;52140;1180;54522;80632;47713;38257;88465;54552
8;19438;65611;29653;43145;81496;84455;34956;30442;8516;78627;19355
9;16960;96834;75814;40752;49871;37365;64872;24305;68232;7975;89447
10;46854;92102;5927;21255;33524;19304;1944;73443;79380;51909;16378
