id;jhi_key;name
1;FAMILY_BULBASAUR;Bulbasaur
2;FAMILY_CHARMANDER;Charmander
3;FAMILY_SQUIRTLE;Squirtle
4;FAMILY_CATERPIE;Caterpie
5;FAMILY_WEEDLE;Weedle
6;FAMILY_PIDGEY;Pidgey
7;FAMILY_RATTATA;Rattata
8;FAMILY_SPEAROW;Spearow
9;FAMILY_EKANS;Ekans
10;FAMILY_PIKACHU;Pikachu
11;FAMILY_SANDSHREW;Sandshrew
12;FAMILY_NIDORAN_FEMALE;Nidoran Female
13;FAMILY_NIDORAN_MALE;Nidoran Male
14;FAMILY_CLEFAIRY;Clefairy
15;FAMILY_VULPIX;Vulpix
16;FAMILY_JIGGLYPUFF;Jigglypuff
17;FAMILY_ZUBAT;Zubat
18;FAMILY_ODDISH;Oddish
19;FAMILY_PARAS;Paras
20;FAMILY_VENONAT;Venonat
21;FAMILY_DIGLETT;Diglett
22;FAMILY_MEOWTH;Meowth
23;FAMILY_PSYDUCK;Psyduck
24;FAMILY_MANKEY;Mankey
25;FAMILY_GROWLITHE;Growlithe
26;FAMILY_POLIWAG;Poliwag
27;FAMILY_ABRA;Abra
28;FAMILY_MACHOP;Machop
29;FAMILY_BELLSPROUT;Bellsprout
30;FAMILY_TENTACOOL;Tentacool
31;FAMILY_GEODUDE;Geodude
32;FAMILY_PONYTA;Ponyta
33;FAMILY_SLOWPOKE;Slowpoke
34;FAMILY_MAGNEMITE;Magnemite
35;FAMILY_FARFETCHD;Farfetchd
36;FAMILY_DODUO;Doduo
37;FAMILY_SEEL;Seel
38;FAMILY_GRIMER;Grimer
39;FAMILY_SHELLDER;Shellder
40;FAMILY_GASTLY;Gastly
41;FAMILY_ONIX;Onix
42;FAMILY_DROWZEE;Drowzee
43;FAMILY_KRABBY;Krabby
44;FAMILY_VOLTORB;Voltorb
45;FAMILY_EXEGGCUTE;Exeggcute
46;FAMILY_CUBONE;Cubone
47;FAMILY_TYROGUE;Tyrogue
48;FAMILY_LICKITUNG;Lickitung
49;FAMILY_KOFFING;Koffing
50;FAMILY_RHYHORN;Rhyhorn
51;FAMILY_CHANSEY;Chansey
52;FAMILY_TANGELA;Tangela
53;FAMILY_KANGASKHAN;Kangaskhan
54;FAMILY_HORSEA;Horsea
55;FAMILY_GOLDEEN;Goldeen
56;FAMILY_STARYU;Staryu
57;FAMILY_MR_MIME;Mr Mime
58;FAMILY_SCYTHER;Scyther
59;FAMILY_JYNX;Jynx
60;FAMILY_ELECTABUZZ;Electabuzz
61;FAMILY_MAGMAR;Magmar
62;FAMILY_PINSIR;Pinsir
63;FAMILY_TAUROS;Tauros
64;FAMILY_MAGIKARP;Magikarp
65;FAMILY_LAPRAS;Lapras
66;FAMILY_DITTO;Ditto
67;FAMILY_EEVEE;Eevee
68;FAMILY_PORYGON;Porygon
69;FAMILY_OMANYTE;Omanyte
70;FAMILY_KABUTO;Kabuto
71;FAMILY_AERODACTYL;Aerodactyl
72;FAMILY_SNORLAX;Snorlax
73;FAMILY_ARTICUNO;Articuno
74;FAMILY_ZAPDOS;Zapdos
75;FAMILY_MOLTRES;Moltres
76;FAMILY_DRATINI;Dratini
77;FAMILY_MEWTWO;Mewtwo
78;FAMILY_MEW;Mew
79;FAMILY_CHIKORITA;Chikorita
80;FAMILY_CYNDAQUIL;Cyndaquil
81;FAMILY_TOTODILE;Totodile
82;FAMILY_SENTRET;Sentret
83;FAMILY_HOOTHOOT;Hoothoot
84;FAMILY_LEDYBA;Ledyba
85;FAMILY_SPINARAK;Spinarak
86;FAMILY_CHINCHOU;Chinchou
87;FAMILY_TOGEPI;Togepi
88;FAMILY_NATU;Natu
89;FAMILY_MAREEP;Mareep
90;FAMILY_MARILL;Marill
91;FAMILY_SUDOWOODO;Sudowoodo
92;FAMILY_HOPPIP;Hoppip
93;FAMILY_AIPOM;Aipom
94;FAMILY_SUNKERN;Sunkern
95;FAMILY_YANMA;Yanma
96;FAMILY_WOOPER;Wooper
97;FAMILY_MURKROW;Murkrow
98;FAMILY_MISDREAVUS;Misdreavus
99;FAMILY_UNOWN;Unown
100;FAMILY_WOBBUFFET;Wobbuffet
101;FAMILY_GIRAFARIG;Girafarig
102;FAMILY_PINECO;Pineco
103;FAMILY_DUNSPARCE;Dunsparce
104;FAMILY_GLIGAR;Gligar
105;FAMILY_SNUBBULL;Snubbull
106;FAMILY_QWILFISH;Qwilfish
107;FAMILY_SHUCKLE;Shuckle
108;FAMILY_HERACROSS;Heracross
109;FAMILY_SNEASEL;Sneasel
110;FAMILY_TEDDIURSA;Teddiursa
111;FAMILY_SLUGMA;Slugma
112;FAMILY_SWINUB;Swinub
113;FAMILY_CORSOLA;Corsola
114;FAMILY_REMORAID;Remoraid
115;FAMILY_DELIBIRD;Delibird
