id;jhi_key;name
1;RATTATA;RATTATA
2;RATTATA_ALOLA;RATTATA_ALOLA
3;RATICATE;RATICATE
4;RATICATE_ALOLA;RATICATE_ALOLA
5;RAICHU;RAICHU
6;RAICHU_ALOLA;RAICHU_ALOLA
7;SANDSHREW;SANDSHREW
8;SANDSHREW_ALOLA;SANDSHREW_ALOLA
9;SANDSLASH;SANDSLASH
10;SANDSLASH_ALOLA;SANDSLASH_ALOLA
11;VULPIX;VULPIX
12;VULPIX_ALOLA;VULPIX_ALOLA
13;NINETALES;NINETALES
14;NINETALES_ALOLA;NINETALES_ALOLA
15;DIGLETT;DIGLETT
16;DIGLETT_ALOLA;DIGLETT_ALOLA
17;DUGTRIO;DUGTRIO
18;DUGTRIO_ALOLA;DUGTRIO_ALOLA
19;MEOWTH;MEOWTH
20;MEOWTH_ALOLA;MEOWTH_ALOLA
21;PERSIAN;PERSIAN
22;PERSIAN_ALOLA;PERSIAN_ALOLA
23;GEODUDE;GEODUDE
24;GEODUDE_ALOLA;GEODUDE_ALOLA
25;GRAVELER;GRAVELER
26;GRAVELER_ALOLA;GRAVELER_ALOLA
27;GOLEM;GOLEM
28;GOLEM_ALOLA;GOLEM_ALOLA
29;GRIMER;GRIMER
30;GRIMER_ALOLA;GRIMER_ALOLA
31;MUK;MUK
32;MUK_ALOLA;MUK_ALOLA
33;EXEGGUTOR;EXEGGUTOR
34;EXEGGUTOR_ALOLA;EXEGGUTOR_ALOLA
35;MAROWAK;MAROWAK
36;MAROWAK_ALOLA;MAROWAK_ALOLA
37;UNOWN_F;UNOWN_F
38;UNOWN_A;UNOWN_A
39;UNOWN_B;UNOWN_B
40;UNOWN_C;UNOWN_C
41;UNOWN_D;UNOWN_D
42;UNOWN_E;UNOWN_E
43;UNOWN_G;UNOWN_G
44;UNOWN_H;UNOWN_H
45;UNOWN_I;UNOWN_I
46;UNOWN_J;UNOWN_J
47;UNOWN_K;UNOWN_K
48;UNOWN_L;UNOWN_L
49;UNOWN_M;UNOWN_M
50;UNOWN_N;UNOWN_N
51;UNOWN_O;UNOWN_O
52;UNOWN_P;UNOWN_P
53;UNOWN_Q;UNOWN_Q
54;UNOWN_R;UNOWN_R
55;UNOWN_S;UNOWN_S
56;UNOWN_T;UNOWN_T
57;UNOWN_U;UNOWN_U
58;UNOWN_V;UNOWN_V
59;UNOWN_W;UNOWN_W
60;UNOWN_X;UNOWN_X
61;UNOWN_Y;UNOWN_Y
62;UNOWN_Z;UNOWN_Z
63;UNOWN_EXCLAMATION_POINT;UNOWN_EXCLAMATION_POINT
64;UNOWN_QUESTION_MARK;UNOWN_QUESTION_MARK
65;SPINDA_00;SPINDA_00
66;SPINDA_01;SPINDA_01
67;SPINDA_02;SPINDA_02
68;SPINDA_03;SPINDA_03
69;SPINDA_04;SPINDA_04
70;SPINDA_05;SPINDA_05
71;SPINDA_06;SPINDA_06
72;SPINDA_07;SPINDA_07
73;CASTFORM;CASTFORM
74;CASTFORM_SUNNY;CASTFORM_SUNNY
75;CASTFORM_RAINY;CASTFORM_RAINY
76;CASTFORM_SNOWY;CASTFORM_SNOWY
77;DEOXYS;DEOXYS
78;DEOXYS_ATTACK;DEOXYS_ATTACK
79;DEOXYS_DEFENSE;DEOXYS_DEFENSE
80;DEOXYS_SPEED;DEOXYS_SPEED
81;WORMADAM_PLANT;WORMADAM_PLANT
82;WORMADAM_SANDY;WORMADAM_SANDY
83;WORMADAM_TRASH;WORMADAM_TRASH
84;CHERRIM_OVERCAST;CHERRIM_OVERCAST
85;CHERRIM_SUNNY;CHERRIM_SUNNY
86;SHELLOS_WEST_SEA;SHELLOS_WEST_SEA
87;SHELLOS_EAST_SEA;SHELLOS_EAST_SEA
88;GASTRODON_WEST_SEA;GASTRODON_WEST_SEA
89;GASTRODON_EAST_SEA;GASTRODON_EAST_SEA
90;ROTOM;ROTOM
91;ROTOM_FROST;ROTOM_FROST
92;ROTOM_FAN;ROTOM_FAN
93;ROTOM_MOW;ROTOM_MOW
94;ROTOM_WASH;ROTOM_WASH
95;ROTOM_HEAT;ROTOM_HEAT
96;GIRATINA_ALTERED;GIRATINA_ALTERED
97;GIRATINA_ORIGIN;GIRATINA_ORIGIN
98;SHAYMIN_LAND;SHAYMIN_LAND
99;SHAYMIN_SKY;SHAYMIN_SKY
100;ARCEUS;ARCEUS
101;ARCEUS_FIGHTING;ARCEUS_FIGHTING
102;ARCEUS_FLYING;ARCEUS_FLYING
103;ARCEUS_POISON;ARCEUS_POISON
104;ARCEUS_GROUND;ARCEUS_GROUND
105;ARCEUS_ROCK;ARCEUS_ROCK
106;ARCEUS_BUG;ARCEUS_BUG
107;ARCEUS_GHOST;ARCEUS_GHOST
108;ARCEUS_STEEL;ARCEUS_STEEL
109;ARCEUS_FIRE;ARCEUS_FIRE
110;ARCEUS_WATER;ARCEUS_WATER
111;ARCEUS_GRASS;ARCEUS_GRASS
112;ARCEUS_ELECTRIC;ARCEUS_ELECTRIC
113;ARCEUS_PSYCHIC;ARCEUS_PSYCHIC
114;ARCEUS_ICE;ARCEUS_ICE
115;ARCEUS_DRAGON;ARCEUS_DRAGON
116;ARCEUS_DARK;ARCEUS_DARK
117;ARCEUS_FAIRY;ARCEUS_FAIRY
