id;name;animation_time_0;animation_time_1;animation_time_2;animation_time_3;animation_time_4;animation_time_5;animation_time_6;animation_time_7;animation_time_8;height;model_height;km_buddy_distance;weight;model_scale;max_cp;cylinder_ground;cylinder_radius;disk_radius;jhi_key;cinematic_moves_id;base_attack;base_defense;base_stamina
1;Bulbasaur;1.6667;0.6667;1.6667;1.8333;0;2.1667;1.4;1.466667;0.7;0.7;3;6.9;1.09;1115;0.5;;;;BULBASAUR;;118;111;128
2;Ivysaur;2.6667;0.6667;1.6667;2.1667;0;2;1.6667;1.733333;1;1.25;3;13;0.85;1699;0.51;;;;IVYSAUR;;151;143;155
3;Venusaur;2.4667;0.6667;1.6667;1.8333;0;2.1333;2;2.066667;2;1.9;3;100;0.69;2720;1.25;;;;VENUSAUR;;198;189;190
4;Charmander;2.1333;0.6667;1.6667;1.8333;0;2.1333;1.1667;1.333333;0.6;0.6;3;8.5;1.25;980;0.3125;;;;CHARMANDER;;116;93;118
5;Charmeleon;1.8667;0.6667;1.8333;1.5;6.666667;2.3333;2;2.533334;1.1;1.03;3;19;1.03;1653;0.4635;;;;CHARMELEON;;158;126;151
6;Charizard;2.2;0.6667;1.6667;0.8667;6.666667;2;1.6;2;1.7;1.91;3;90.5;0.81;2889;1.25;;;;CHARIZARD;;223;173;186
7;Squirtle;1.7333;0.6667;1.6667;1.5;0;2.1667;1;1.333333;0.5;0.43;3;9;1.53;946;0.3;;;;SQUIRTLE;;94;121;127
8;Wartortle;2;0.6667;1.6667;1.8333;0;1.8;1.0667;1.133333;1;1;3;22.5;1;1488;0.5;;;;WARTORTLE;;126;155;153
9;Blastoise;2.1333;0.6667;1.6667;1.8333;0;2;2.6667;1.333333;1.6;1.39;3;85.5;0.94;2466;0.8;;;;BLASTOISE;;171;207;188
10;Caterpie;0;0.6667;1.6667;1.6667;0;1.8333;1.6667;0;0.3;0.19;1;2.9;2.04;437;0.1;;;;CATERPIE;;55;55;128
11;Metapod;1.3333;0.6667;1.8333;1.6667;0;1.5667;2;0;0.7;0.7;1;9.9;1.17;450;0.351;;;;METAPOD;;45;80;137
12;Butterfree;2;0.6667;1.7333;0.6667;0;2.4667;2.1333;0;1.1;0.95;1;32;1.11;1827;0.666;;;;BUTTERFREE;;167;137;155
13;Weedle;0;0.6667;1.6667;1.8333;0;1.6667;2;0;0.3;0.18;1;3.2;2.09;456;0.1;;;;WEEDLE;;63;50;120
14;Kakuna;0;0.6667;0;1.6667;0;2;2.5;0;0.6;0.6;1;10;1.25;432;0.25;;;;KAKUNA;;46;75;128
15;Beedrill;1.6667;0.6667;1.6667;0.6667;0.2;1.8;1.3333;0;1;1.28;1;29.5;0.77;1846;0.6;;;;BEEDRILL;;169;130;163
16;Pidgey;1.6667;0.6667;1.6667;1.8333;0;1.8333;0.8;1.333333;0.3;0.3;1;1.8;1.68;680;0.252;;;;PIDGEY;;85;73;120
17;Pidgeotto;2.6667;0.6667;2;0.8;0;2;0.6667;0;1.1;1.74;1;30;0.79;1194;1;;;;PIDGEOTTO;;117;105;160
