id;jhi_key;name
1;VINE_WHIP_FAST;Vine Whip Fast
2;TACKLE_FAST;Tackle Fast
3;RAZOR_LEAF_FAST;Razor Leaf Fast
4;EMBER_FAST;Ember Fast
5;SCRATCH_FAST;Scratch Fast
6;FIRE_FANG_FAST;Fire Fang Fast
7;FIRE_SPIN_FAST;Fire Spin Fast
8;AIR_SLASH_FAST;Air Slash Fast
9;BUBBLE_FAST;Bubble Fast
10;WATER_GUN_FAST;Water Gun Fast
11;BITE_FAST;Bite Fast
12;BUG_BITE_FAST;Bug Bite Fast
13;STRUGGLE_BUG_FAST;Struggle Bug Fast
14;CONFUSION_FAST;Confusion Fast
15;POISON_STING_FAST;Poison Sting Fast
16;INFESTATION_FAST;Infestation Fast
17;POISON_JAB_FAST;Poison Jab Fast
18;QUICK_ATTACK_FAST;Quick Attack Fast
19;WING_ATTACK_FAST;Wing Attack Fast
20;STEEL_WING_FAST;Steel Wing Fast
21;PECK_FAST;Peck Fast
22;ACID_FAST;Acid Fast
23;THUNDER_SHOCK_FAST;Thunder Shock Fast
24;VOLT_SWITCH_FAST;Volt Switch Fast
25;SPARK_FAST;Spark Fast
26;MUD_SHOT_FAST;Mud Shot Fast
27;METAL_CLAW_FAST;Metal Claw Fast
28;POWDER_SNOW_FAST;Powder Snow Fast
29;IRON_TAIL_FAST;Iron Tail Fast
30;POUND_FAST;Pound Fast
31;ZEN_HEADBUTT_FAST;Zen Headbutt Fast
32;CHARGE_BEAM_FAST;Charge Beam Fast
33;FEINT_ATTACK_FAST;Feint Attack Fast
34;FURY_CUTTER_FAST;Fury Cutter Fast
35;MUD_SLAP_FAST;Mud Slap Fast
36;SUCKER_PUNCH_FAST;Sucker Punch Fast
37;KARATE_CHOP_FAST;Karate Chop Fast
38;LOW_KICK_FAST;Low Kick Fast
39;COUNTER_FAST;Counter Fast
40;SNARL_FAST;Snarl Fast
41;ROCK_SMASH_FAST;Rock Smash Fast
42;PSYCHO_CUT_FAST;Psycho Cut Fast
43;BULLET_PUNCH_FAST;Bullet Punch Fast
44;BULLET_SEED_FAST;Bullet Seed Fast
45;ROCK_THROW_FAST;Rock Throw Fast
46;ICE_SHARD_FAST;Ice Shard Fast
47;LICK_FAST;Lick Fast
48;FROST_BREATH_FAST;Frost Breath Fast
49;ASTONISH_FAST;Astonish Fast
50;SHADOW_CLAW_FAST;Shadow Claw Fast
51;HEX_FAST;Hex Fast
52;EXTRASENSORY_FAST;Extrasensory Fast
53;DRAGON_TAIL_FAST;Dragon Tail Fast
54;DRAGON_BREATH_FAST;Dragon Breath Fast
55;WATERFALL_FAST;Waterfall Fast
56;HIDDEN_POWER_FAST;Hidden Power Fast
57;SPLASH_FAST;Splash Fast
58;TRANSFORM_FAST;Transform Fast
59;CUT_FAST;Cut Fast
60;PRESENT_FAST;Present Fast
61;YAWN_FAST;Yawn Fast
62;TAKE_DOWN_FAST;Take Down Fast
63;SMACK_DOWN_FAST;Smack Down Fast
