id;name;name_id
1;POKEMON_TYPE_GRASS;Grass
2;POKEMON_TYPE_POISON;Poison
3;POKEMON_TYPE_FIRE;Fire
4;POKEMON_TYPE_FLYING;Flying
5;POKEMON_TYPE_WATER;Water
6;POKEMON_TYPE_BUG;Bug
7;POKEMON_TYPE_NORMAL;Normal
8;POKEMON_TYPE_DARK;Dark
9;POKEMON_TYPE_ELECTRIC;Electric
10;POKEMON_TYPE_PSYCHIC;Psychic
11;POKEMON_TYPE_GROUND;Ground
12;POKEMON_TYPE_ICE;Ice
13;POKEMON_TYPE_STEEL;Steel
14;POKEMON_TYPE_FAIRY;Fairy
15;POKEMON_TYPE_FIGHTING;Fighting
16;POKEMON_TYPE_ROCK;Rock
17;POKEMON_TYPE_GHOST;Ghost
18;POKEMON_TYPE_DRAGON;Dragon
19;POKEMON_TYPE_STEEL;Steel
